Rank,Player,Pts,Avg,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Status,Bye,Salary
71,"Bell, Blake KCC TE",27.8,1.738,1.9,5,2.2,0,1.8,0,0,0,0,0.4,2.6,0,0,0,0.4,3.2,10.3,0,FA,12,0
72,"Fortson, Jody KCC TE",26.4,4.4,0,3.2,9.4,7.4,0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,FA,12,0
73,"Hollister, Jacob JAC TE",26,3.714,0,0,5,2,7.2,0,0,0,0,0,0,0,0,0,0,6,0,5.8,FA,7,5
74,"James, Jesse CHI TE",25.4,1.814,0,0,0,0,0,0,7,16.6,0,0,0,0,0,0,0,0,1.8,0,FA,10,0
75,"Saubert, Eric DEN TE",23.4,1.376,2.4,2.4,0,0,0,7.6,1.6,0,2.2,0,0,7.2,0,0,0,0,0,0,FA,11,0
76,"Oliver, Josh BAL TE",22.2,1.586,0,2.8,2.2,0,4.6,1.4,7.8,0,0,0,0,0,0,2.2,0,0,0,1.2,FA,8,0
77,"Sweeney, Tommy BUF TE",21.8,1.677,0,0,2.4,0,1.2,7.2,0,9,2,0,0,0,0,0,0,0,0,0,FA,7,0
78,"Auclair, Antony HOU TE",20.4,1.275,0,0,0,0,9.2,0,0,0,6.6,0,0,0,0,2.2,0,0,0,2.4,FA,10,0
79,"Dwelley, Ross SFO TE",20.2,1.188,0,0,0,11.2,7,0,2,0,0,0,0,0,0,0,0,0,0,0,FA,6,0
80,"Gray, Noah KCC TE",20.2,1.262,0,0,2,0,0,0,1.8,0,0,7.2,2.6,0,0,0,0,4.4,2.2,0,FA,12,0
81,"Horsted, Jesper CHI TE",18.2,2.6,0,0,0,0,7.4,0,0,0,0,0,0,0,0,0,10.8,0,0,0,FA,10,0
82,"Herndon, Chris MIN TE",18,1.125,0,0,0,0,0,7.4,0,2.4,0,3.8,0,0,0,4.4,0,0,0,0,Tuggers,7,0
83,"Farrell, Luke JAC TE",16.2,1.08,0,2.2,-1.2,2.4,3.6,5.2,0,1.6,0,0,0,0,0,0,0,0,2.4,0,FA,7,0
84,"McKeon, Sean DAL TE",15.4,1.711,0,0,0,0,0,0,0,0,0,5,1.4,9,0,0,0,0,0,0,FA,7,0
85,"Woerner, Charlie SFO TE",15.4,0.906,0,0,0,0,1.8,0,8,2.4,0,0,0,3.2,0,0,0,0,0,0,FA,6,0
86,"McKitty, Tre' LAC TE",15,1.364,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,1.8,3.4,7.4,0,FA,7,0
87,"Hesse, Parker ATL TE",13.6,1.943,0,0,0,0,0,0,0,0,0,0,2,2.4,0,0,0,0,9.2,0,FA,6,0
88,"Jackson, Tyree PHI TE",13.4,1.489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4,FA,14,0
89,"Fells, Darren TBB TE",12.6,1.4,1.4,0,9,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,FA,9,7
90,"Myarick, Chris FA TE",12.4,1.771,0,0,0,0,0,0,0,0,0,0,0,10.2,0,0,0,2.2,0,0,FA,10,0
91,"Wesco, Trevon NYJ TE",12,1,0,0,0,2,0,0,0,0,5.2,0,0,0,0,0,4.8,0,0,0,FA,6,0
92,"Parkinson, Colby SEA TE",11.6,0.829,0,0,0,0,1.2,0,0,0,0,0,2.2,0,0,0,0,0,3.4,4.8,FA,9,0
93,"Blanton, Kendall LAR TE",11.4,1.267,0,0,0,0,0,0,0,0,0,1.4,0,0,2.2,7.8,0,0,0,0,FA,11,0
94,"Davis, Tyler GBP TE",11,0.786,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,5.4,0,3.8,0,FA,13,0
95,"Stoll, Jack PHI TE",10.2,0.637,0,1.8,0,0,0,0,0,2.8,0,3.2,0,0,0,0,2.4,0,0,0,FA,14,0
96,"Griffin, Garrett NOS TE",9.8,0.754,0,0,0,0,0,0,0,9,0,0,0,0,0.8,0,0,0,0,0,FA,6,0
97,"Zylstra, Shane DET TE",9.8,2.45,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,4.2,0,0,0,FA,9,0
98,"Smith, Kaden NYG TE",9.6,1.067,0,6.8,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,10,0
99,"Hudson, Tommy TEN TE",9.2,1.84,0,3.8,1.6,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,13,0
100,"Sprinkle, Jeremy DAL TE",9.2,0.541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,0,0,3,FA,7,0
101,"Yeboah, Kenny NYJ TE",9.2,1.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2,0,FA,6,0
102,"Dafney, Dominique GBP TE",8.8,0.88,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,6.2,FA,13,0
103,"Gilliam, Reggie BUF TE",8.2,0.512,0,0.4,0,2.8,0,0,0,0,0,0,2.4,0,0,0,0,2.6,0,0,FA,7,0
104,"Brown, Daniel NYJ TE",7.8,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,0,FA,6,0
105,"Wilcox, Mitchell CIN TE",6.2,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,FA,10,0
106,"Carter, Cethan MIA TE",5.2,0.325,0,2.6,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,FA,14,0
