#,Player,Pts,Avg,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Status,Bye,Salary,Column26
97,"Reagor, Jalen PHI WR",82.54,4.855,16.84,1.8,10.98,3.24,5.34,0,11.1,2.8,-0.46,1.72,0.34,5.96,3.72,0,10.62,3.4,-0.2,5.34,FA,14,0,
98,"Hilton, T.Y. IND WR",82.46,8.246,0,0,0,0,0,14.8,0,3.56,0,1.3,5.16,12.48,4.52,0,3.54,16.16,13.7,7.24,Platypi,14,1,
99,"Humphries, Adam WAS WR",81.78,4.811,2.6,10.54,1.62,3.54,13.18,-0.14,7.26,6.6,0,1.3,5.8,3.24,8.08,7.44,5.18,1.64,2.92,0.98,FA,9,0,
100,"Shepard, Sterling NYG WR",81.76,11.68,27.58,18.74,3.56,0,0,17.16,0,6,0,0,0,0,0,5.32,3.4,0,0,0,Lizards,10,0,
101,"Watkins, Sammy BAL WR",76.54,5.888,17.36,9.04,12.88,9.84,6.6,0,0,0,0,-4.38,9.18,1.78,14.24,0,0,0,0,0,FA,8,0,
102,"Rogers, Chester TEN WR",76.16,4.76,11.92,4.52,7.46,12.58,5.66,1.62,0,0,0,1.94,8.56,0.82,0,4.58,8.8,0.98,3.08,3.64,FA,13,0,
103,"Slayton, Darius NYG WR",76.04,5.849,11.9,16.14,1.78,0,0,0,12.58,0,0,0,5.92,6.7,3.08,0,4.68,1.62,0,11.64,FA,10,0,
104,"Johnson, Tyler TBB WR",75.6,4.447,0,1.3,11.58,0,8.22,0,3.56,12.9,0,4.22,1.78,1.94,1.3,4.22,8.56,0,10,6.02,FA,9,0,
105,"Conley, Chris HOU WR",73.08,4.567,5.32,2.58,0,0,18.94,2.1,0,4.34,7.08,0,7.92,0,0,4.2,2.92,17.1,0.58,0,FA,10,1,
106,"Robinson, Demarcus KCC WR",72.74,4.279,1.94,14.86,3.72,0,1.78,14.86,1.62,3.38,0.82,5.18,0,0,4.36,0,0,3.4,12.28,4.54,FA,12,0,
107,"Byrd, Damiere CHI WR",72.64,4.273,4.54,0,0,0,0,0,2.1,0,0,0,0.98,8.72,7.26,19.16,12.42,3.26,4.18,10.02,FA,10,0,
108,"Ridley, Calvin ATL WR",72.46,14.492,10.66,19.58,13.76,16.3,0,0,12.16,0,0,0,0,0,0,0,0,0,0,0,Hedgehogs,6,16,
109,"Agnew, Jamal JAC WR",72.44,6.037,0,0,0,6.02,10.46,14.98,0,15.08,7.02,14.2,4.68,0,0,0,0,0,0,0,Spawners - IR,7,4,
110,"Washington, James PIT WR",71.1,4.74,2.6,0,4.7,13.04,0,1.94,0,1.14,8.72,9.4,2.92,0.98,0,18.4,7.26,0,0,0,FA,7,10,
111,"Amendola, Danny HOU WR",68.28,8.535,13.94,1.94,0,0,0,0,4.22,-0.52,8.94,0,0,5.18,0,0,0,0,0,34.58,FA,10,0,
112,"Hollins, Mack MIA WR",66.68,3.922,0,0,0,0,2.1,11.76,9.08,0,11.02,0,18.52,0,7.3,0,0,6.9,0,0,FA,14,0,
113,"Goodwin, Marquise CHI WR",66.18,4.727,9.1,2.1,0,0.2,1.78,2.42,3.56,6.12,8.5,0,24.64,0,0,0,0,4.68,0,3.08,FA,10,0,
114,"McCloud, Ray-Ray PIT WR",63.52,3.97,0,0,6.78,0.82,0.66,3.88,0,1.1,-1.58,14.58,3.52,0,1.62,8.12,0.5,6,9.6,7.92,FA,7,0,
115,"Higgins, Rashard CLE WR",62,4.133,0,5.32,4.84,12.08,12.14,0,0.18,5.32,0,0,3.22,0,0,0,5.34,11.78,1.78,0,FA,13,0,
116,"Wesley, Antoine ARI WR",60.78,4.052,0,0,0,0,0,0,0,1.62,11.42,0,9.04,0,0,0,4.54,11.64,18.8,3.72,FA,12,0,
117,"Moore, Chris HOU WR",58.82,4.902,0,0,0,0,25.94,4.24,0,3.56,1.14,0,2.1,-0.14,0,0,0,8.4,0,13.58,FA,10,0,
118,"Humphrey, Lil'Jordan NOS WR",58.34,5.834,0,4.82,0,0,0,0,0,0,0,0,7.14,9.02,14.84,0,0,12.7,5.16,4.66,FA,6,0,
119,"McKenzie, Isaiah BUF WR",58.08,3.872,-0.2,0.66,0.9,0,0,1.58,0,0,2.6,10.32,0,0,0,1.3,2.52,31.5,1.86,5.04,Bucklers,7,3,
120,"Zylstra, Brandon CAR WR",54.6,4.2,0,14.54,0,11.08,0,6.62,0,0,0,3.88,1.62,4.34,0,9.2,3.72,0,0,-0.4,FA,13,0,
121,"Austin, Tavon JAC WR",54.48,4.191,0,0,0,1.78,11.14,0,0,1.3,0,0,3.38,10.36,1.94,4.22,2.26,16.28,1.82,0,FA,7,0,
122,"Sims, Cam WAS WR",54.06,3.861,3.22,0,3.7,0,0,0,0,3.7,0,2.6,10.04,0,0,18.54,2.58,0,9.68,0,FA,9,0,
123,"Cephus, Quintez DET WR",53.14,10.628,10.42,18.08,1.78,15.28,7.58,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,9,0,
124,"Grayson, Cyril TBB WR",52.42,13.105,0,0,0,0,0,0,0,14.5,0,0,0,0,0,0,0,15.96,21.96,0,FA,9,0,
