Rank,Player,Pts,Avg,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Status,Bye,Salary
44,"Johnson, Ty NYJ RB",128.42,8.026,4.16,6.2,3.46,3.32,12.12,0,14.5,21.76,13.9,8.66,2.38,4.8,3.44,10.7,0,0,19.02,0,Cannons,6,1
45,"Sanders, Miles PHI RB",127.38,10.615,19.14,7.94,8.88,8.94,9.06,9.1,3.62,0,0,0,9,7.8,19.42,0,18.3,6.18,0,0,Tuggers,14,51
46,"Stevenson, Rhamondre NEP RB",126.58,10.548,0.24,0,0,0,3.4,16.54,0,4.7,15.24,28.24,9.56,5.5,10.2,0,3.74,0,24.6,4.62,Bucklers,14,3
47,"Ingram, Mark NOS RB",120.82,8.63,17.1,5.84,3.04,3,5.7,11.38,5.88,8.3,11.06,23.86,15.4,0,3.98,0,4.18,2.1,0,0,Alcoholics,6,1
48,"Hines, Nyheim IND RB",120.8,7.106,14.98,3.82,20.24,2.6,2.2,3.64,2.38,5.82,21.44,5.12,5.5,6.06,9.32,0,7.78,3.02,4.84,2.04,Martians,14,1
49,"Hunt, Kareem CLE RB",117.24,14.655,17.88,7.22,29.94,18.02,26.28,11.42,0,0,0,0,0,2.7,0,3.78,0,0,0,0,Alcoholics,13,0
50,"Murray, Latavius BAL RB",115,8.214,9.8,10.5,3.5,13.7,5.38,14.22,0,0,0,0,5.36,2.2,6.74,6.2,6.48,4.12,4.2,22.6,Gunslingers,8,0
51,"Drake, Kenyan LVR RB",113.26,9.438,13.64,11.46,9.98,0.3,1.3,23.04,17.4,0,17.6,5.4,6.26,5,1.88,0,0,0,0,0,Platypi - IR,8,1
52,"Moss, Zack BUF RB",113.12,8.702,0,15.68,19.76,13.5,15.1,4.6,0,11.94,4.78,9.4,0.8,0,5.82,0,0,4.08,4.4,3.26,FA,7,0
53,"Johnson, D'Ernest CLE RB",112.82,6.636,0,0,1.1,0,0,1.92,27.32,10.22,2.4,24.58,3.1,0,0,4.22,4.62,7.98,2.46,22.9,FA,13,0
54,"Burkhead, Rex HOU RB",112.76,7.048,1.46,0,1.3,0,0,0,0,13.92,1.1,0,5.8,9.72,6.7,11.26,7.16,30.1,12.42,11.82,Fonzi,10,1
55,"Foreman, D'Onta TEN RB",110.08,12.231,0,0,0,0,0,0,0,0,3.4,12.78,6.1,11.78,0,15.4,18.32,8.6,21.8,11.9,Rockies,13,1
56,"Scott, Boston PHI RB",105.78,6.611,0,0,1.8,0,0,0,10.4,19.2,5,14.04,3.52,14.18,0,0,0,11.3,26.34,0,Alcoholics,14,3
57,"Herbert, Khalil CHI RB",93.96,5.527,0,0,0,1,9.3,23,21.58,11.86,1.7,0,0.1,1.3,4.26,0.4,6.94,9.92,1.1,1.5,Spawners,10,13
58,"Abdullah, Ameer CAR RB",92.94,5.467,3.9,0,2.9,0.82,0.3,0,0,11,6.9,9.62,0.7,4.8,0,5.72,16.78,3.08,9.66,16.76,FA,13,0
59,"Jackson, Justin LAC RB",92.68,6.62,1.42,4.28,0.2,4.62,0,1.62,0,8.2,0,0,0.3,0,4.06,6.02,12.48,37.18,10,2.3,Fonzi,7,20
60,"Jones, Ronald TBB RB",88.14,5.509,-0.2,5.24,1.6,9.1,5.5,4.44,5.3,3.06,0,0,10.1,10.4,0.8,1.1,9.38,18.06,4.26,0,Platypi,9,1
61,"Perine, Samaje CIN RB",86.96,5.435,4.32,0,1.78,3.9,18.84,0,16.48,3.56,6.22,0,4.88,3.02,5.9,7.02,6.48,1.96,2.6,0,Whiners,10,8
62,"Johnson, David HOU RB",85.5,6.577,11.68,7.62,1.3,8.42,10.56,1.64,10.02,0.94,7.64,0,7.16,8.46,0,0,3.98,0,0,6.08,Bucklers - IR,10,3
63,"Collins, Alex SEA RB",80.32,7.302,0,2.6,1,17.84,11.2,18.12,7.04,5.4,0,6.88,4.6,2.68,0,2.96,0,0,0,0,FA,9,0
64,"McNichols, Jeremy FA RB",78.1,5.579,6.44,6.06,8.9,17.04,6.16,0,2.1,6.78,6.36,1.76,0,0,0,2.4,8.7,3.8,1.6,0,FA,13,0
65,"Juszczyk, Kyle SFO RB",77.36,4.551,1.62,3.7,15.82,8.56,7.2,0,0,2.26,3.24,1.46,1.62,6.92,4.36,1.3,8.16,8.7,2.44,0,FA,6,0
66,"Hilliard, Dontrell TEN RB",74.02,9.252,0,0,0,0,0,0,0,0,0,0,13.72,19.12,0,1.9,9.4,2.54,20.08,7.26,Platypi,13,33
67,"Howard, Jordan PHI RB",73.24,10.463,0,0,0,0,0,0,0,18.9,14.8,9.5,7.3,0,0,0,10.4,8.64,3.7,0,Fonzi,14,11
68,"Johnson, Duke MIA RB",68.66,13.732,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,28.6,5.2,11.16,21.5,FA,14,1
69,"Gore, Derrick KCC RB",63.5,5.773,0,0,0,0,0,0,1.62,11.9,3.06,2.5,0,0,0,18.18,0,16.76,5.78,3.7,FA,12,0
70,"Williams, Damien CHI RB",62.88,5.24,8.28,1.48,0,15.7,18.2,0,1.78,-0.1,0,0,0,0,0,2.64,0,2.12,0,12.78,FA,10,0
71,"Felton, Demetric CLE RB",61.06,3.816,0,17.16,3.08,2.92,0,3.24,6.36,3.14,4.02,0,2.5,0,0,4,4.06,0,0,10.58,FA,13,0
72,"Dallas, DeeJay SEA RB",60.88,3.581,1.9,0,0,0,7.22,9.88,0,0.7,0,0,9.72,7.52,0,1.8,14.16,7.58,0.2,0.2,FA,9,0
73,"Patterson, Jaret WAS RB",60.08,3.534,1.1,0,0,2.56,1.7,0.78,0,5.7,0,1.1,3,0.1,0.3,5.24,6.4,4.2,21.96,5.94,Platypi,9,7
74,"Homer, Travis SEA RB",59.56,4.254,0,3.24,9.18,0.6,3.18,7.72,1.5,2.28,0,5.48,0.5,0,17.9,0,0,0,3.3,4.68,FA,9,0
75,"Wilson, Jeffery SFO RB",57.76,6.418,0,0,0,0,0,0,0,0,0,3.8,6.68,1.52,0,6.9,23.54,15.32,0,0,Hedgehogs,6,1
76,"Coleman, Tevin NYJ RB",57.34,5.213,3.3,2.9,0,5.52,1.4,0,0,0,0,4.94,2.92,9.78,11.44,0,5.8,8.24,0,1.1,Butchers,6,4
77,"Bernard, Giovani TBB RB",55.78,4.648,2.92,3.56,18.66,0,11.74,1.64,1.8,10.82,0,1.64,0.98,0,2.02,0,0,0,0,0,FA,9,0
78,"Lindsay, Phillip MIA RB",54.9,3.921,9.3,10.72,1.2,0.3,2.4,8,1,1.1,3.6,0,-0.2,5.4,0,0,0,4.9,2.08,5.1,FA,14,0
79,"Ogunbowale, Dare JAC RB",54.74,3.22,0,0,0,0.5,3.54,0,0,3.04,1.34,0,0,0,0,1.8,1.5,16.8,16.62,9.6,Platypi,7,7
80,"Evans, Chris CIN RB",53.06,3.79,0,2.74,5.16,0,3.4,17.54,0,0,2.26,0,1.62,4.1,0,0,0,0.2,0,16.04,Whiners,10,8
