Rank,Player,Pts,Avg,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Status,Bye,Salary
44,"McCoy, Colt ARI QB",39.3,4.913,0,0,0,0,0,0,0.1,0,17.53,-5.13,24.8,0,0,0,2,0,0,0,Fonzi - TS,12,1
45,"Brissett, Jacoby MIA QB",36.17,3.288,0.6,-3.71,12.63,12.81,13.43,1.25,0,0,1.04,-1.18,0,0,0,0,0.3,-1,0,0,FA,14,0
46,"Lock, Drew DEN QB",33.63,5.605,0,0,0,-3.55,0,0,0,0,0,0,0,-4.9,0,0,4.54,3.53,16.01,18,FA,11,0
47,"Minshew, Gardner PHI QB",33.11,8.277,0,0,0,0,0,0,0,0.55,0,0,0,0,21.24,0,0,0,0,11.32,FA,14,1
48,"Flacco, Joe NYJ QB",24.88,12.44,0,0,0,0,0,0,0,0,0,8.35,16.53,0,0,0,0,0,0,0,FA,6,0
49,"Rush, Cooper DAL QB",24.64,4.928,0,0,0,0,0,0,0,14.39,0,0.55,0,0,0,0,0,9.3,0,0.4,Whiners - TS,7,0
50,"Boyle, Tim DET QB",21.6,4.32,0,0,0,0,0,0,0,0,0,0,-3.35,0,0,0,0,9.35,15.6,0,FA,9,0
51,"Keenum, Case CLE QB",20.34,2.906,0,0,0.3,0,0,-0.5,11.05,0,0,-1.31,0,0,0,0,0,0,0,10.8,FA,13,0
52,"Hoyer, Brian NEP QB",16.85,3.37,0,0,0,0,0,0,3.55,0,0,10.25,0,0,0,0,0,0,3.05,0,FA,14,0
53,"Love, Jordan GBP QB",15.83,2.638,-0.56,0,0,0,0,0,0,0,8.56,0,0,0,0,0,0,0,1.25,6.58,FA,13,0
54,"Rudolph, Mason PIT QB",14.45,7.225,0,0,0,0,0,0,0,0,0,12.1,0,0,0,0,0,2.35,0,0,FA,7,0
55,"Mariota, Marcus LVR QB",13.8,1.38,3.2,0,0,0,0,0,0.5,0,0.7,0,0,6.6,0,0,0.4,0,-0.5,2.9,FA,8,0
56,"Foles, Nick CHI QB",9.46,9.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.46,0,0,FA,10,0
57,"Mullens, Nick CLE QB",9.35,9.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.35,0,0,0,FA,13,0
58,"Trubisky, Mitchell BUF QB",9.05,1.508,0,0,2.35,7.8,0,0,0,0,0,0,-1.85,0,0,0,0,0,0,0.75,FA,7,0
59,"Mannion, Sean MIN QB",8.85,8.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85,0,FA,7,0
60,"Allen, Brandon CIN QB",7.93,1.322,0,0,0,0,0,6.35,0,0,2,0,0,-0.4,0,0,0,0,-0.3,0.28,FA,10,0
61,"Allen, Kyle WAS QB",6.3,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.25,0,7.55,0,0,FA,9,0
62,"Henne, Chad KCC QB",2.3,0.575,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0.1,0,-0.4,0,0,FA,12,7
63,"Beathard, C.J. JAC QB",1.95,0.975,0,0,0,0,0,0,0,0,1.65,0,0,0,0.3,0,0,0,0,0,FA,7,0
64,"Ehlinger, Sam IND QB",1.2,0.4,0,0,0,0,0,0,0,0,0.2,0,1,0,0,0,0,0,0,0,FA,14,0
65,"Gabbert, Blaine TBB QB",0.55,0.092,0,0,0,0,2.25,0,0.35,0,0,0,-0.85,0,0,0,0,-0.4,0,-0.8,FA,9,4
66,"Gilbert, Garrett WAS QB",0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,FA,9,0
